func	1:0	4:0	0	int	show_muxers
params	1:15	0:0	1	
param	1:16	1:28	2	void *	optctx
param	1:30	1:45	2	const char *	opt
param	1:47	1:62	2	const char *	arg
stmnts	3:4	3:65	1	
return	3:4	3:65	2	show_formats_devices(optctx,opt,arg,0,SHOW_MUXERS)
call	3:11	3:64	3	show_formats_devices
arg	3:32	3:38	4	optctx
water	3:32	0:0	5	optctx
arg	3:40	3:43	4	opt
water	3:40	0:0	5	opt
arg	3:45	3:48	4	arg
water	3:45	0:0	5	arg
arg	3:50	3:51	4	0
water	3:50	0:0	5	0
arg	3:53	3:64	4	SHOW_MUXERS
water	3:53	0:0	5	SHOW_MUXERS
