func	1:0	8:0	0	static int	opt_pretty
params	1:21	0:0	1	
param	1:22	1:34	2	void *	optctx
param	1:36	1:51	2	const char *	opt
param	1:53	1:68	2	const char *	arg
stmnts	3:4	7:12	1	
water	3:4	0:0	2	show_value_unit
op	3:33	0:0	2	=
water	3:35	0:0	2	1
water	3:36	0:0	2	;
water	4:4	0:0	2	use_value_prefix
op	4:33	0:0	2	=
water	4:35	0:0	2	1
water	4:36	0:0	2	;
water	5:4	0:0	2	use_byte_value_binary_prefix
op	5:33	0:0	2	=
water	5:35	0:0	2	1
water	5:36	0:0	2	;
water	6:4	0:0	2	use_value_sexagesimal_format
op	6:33	0:0	2	=
water	6:35	0:0	2	1
water	6:36	0:0	2	;
return	7:4	7:12	2	0
water	7:11	0:0	3	0
