func	1:0	6:0	0	static void	dither_int_to_float_rectangular_c
params	1:45	0:0	1	
param	1:46	1:56	2	float *	dst
param	1:58	1:66	2	int *	src
param	1:68	1:75	2	int	len
stmnts	0:0	5:35	1	
decl	3:4	3:9	2	int	i
for	4:4	5:35	2	(i = 0 ;i < len;i ++)
forinit	4:9	4:14	3	i = 0 ;
water	4:9	0:0	4	i
op	4:11	0:0	4	=
water	4:13	0:0	4	0
water	4:14	0:0	4	;
cond	4:16	4:20	3	i < len
water	4:16	0:0	4	i
op	4:18	0:0	4	<
water	4:20	0:0	4	len
forexpr	4:25	4:26	3	i ++
water	4:25	0:0	4	i
op	4:26	0:0	4	++
stmts	5:8	5:35	3	
water	5:8	0:0	4	dst
op	5:11	0:0	4	[
water	5:12	0:0	4	i
op	5:13	0:0	4	]
op	5:15	0:0	4	=
water	5:17	0:0	4	src
op	5:20	0:0	4	[
water	5:21	0:0	4	i
op	5:22	0:0	4	]
op	5:24	0:0	4	*
water	5:26	0:0	4	LFG_SCALE
water	5:35	0:0	4	;
