func	1:0	8:0	0	static int	opt_sameq
params	1:20	0:0	1	
param	1:21	1:33	2	void *	optctx
param	1:35	1:50	2	const char *	opt
param	1:52	1:67	2	const char *	arg
stmnts	3:4	7:26	1	
call	3:4	6:19	2	av_log
arg	3:11	3:15	3	NULL
water	3:11	0:0	4	NULL
arg	3:17	3:29	3	AV_LOG_ERROR
water	3:17	0:0	4	AV_LOG_ERROR
arg	3:31	5:87	3	"Option '%s' was removed. ""If you are looking for an option to preserve the quality (which is not ""what -%s was for), use -qscale 0 or an equivalent quality factor option.\n"
water	3:31	0:0	4	"Option '%s' was removed. "
water	4:11	0:0	4	"If you are looking for an option to preserve the quality (which is not "
water	5:11	0:0	4	"what -%s was for), use -qscale 0 or an equivalent quality factor option.\n"
arg	6:11	6:14	3	opt
water	6:11	0:0	4	opt
arg	6:16	6:19	3	opt
water	6:16	0:0	4	opt
water	6:20	0:0	2	;
return	7:4	7:26	2	AVERROR(EINVAL)
call	7:11	7:25	3	AVERROR
arg	7:19	7:25	4	EINVAL
water	7:19	0:0	5	EINVAL
