func	1:0	9:0	0	static int	process_command
params	1:26	0:0	1	
param	1:27	1:47	2	AVFilterContext *	ctx
param	2:27	2:42	2	const char *	cmd
param	3:27	3:42	2	const char *	arg
param	4:27	4:36	2	char *	res
param	5:27	5:38	2	int	res_len
param	6:27	6:36	2	int	flags
stmnts	8:4	8:76	1	
return	8:4	8:76	2	!strcmp(cmd,"tempo")?yae_set_tempo(ctx,arg):AVERROR(ENOSYS)
op	8:11	0:0	3	!
call	8:12	8:31	3	strcmp
arg	8:19	8:22	4	cmd
water	8:19	0:0	5	cmd
arg	8:24	8:31	4	"tempo"
water	8:24	0:0	5	"tempo"
water	8:33	0:0	3	?
call	8:35	8:57	3	yae_set_tempo
arg	8:49	8:52	4	ctx
water	8:49	0:0	5	ctx
arg	8:54	8:57	4	arg
water	8:54	0:0	5	arg
water	8:59	0:0	3	:
call	8:61	8:75	3	AVERROR
arg	8:69	8:75	4	ENOSYS
water	8:69	0:0	5	ENOSYS
