func	1:0	7:0	0	static inline void	scale_samples_u8_small
params	1:41	0:0	1	
param	1:42	1:54	2	uint8_t *	dst
param	1:56	1:74	2	const uint8_t *	src
param	2:42	2:56	2	int	nb_samples
param	2:58	2:68	2	int	volume
stmnts	0:0	6:76	1	
decl	4:4	4:9	2	int	i
for	5:4	6:76	2	(i = 0 ;i < nb_samples;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < nb_samples
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	nb_samples
forexpr	5:32	5:33	3	i ++
water	5:32	0:0	4	i
op	5:33	0:0	4	++
stmts	6:8	6:76	3	
water	6:8	0:0	4	dst
op	6:11	0:0	4	[
water	6:12	0:0	4	i
op	6:13	0:0	4	]
op	6:15	0:0	4	=
call	6:17	6:75	4	av_clip_uint8
arg	6:31	6:75	5	(((src[i]-128)*volume+128)>>8)+128
water	6:31	0:0	6	(
water	6:32	0:0	6	(
water	6:33	0:0	6	(
water	6:34	0:0	6	src
op	6:37	0:0	6	[
water	6:38	0:0	6	i
op	6:39	0:0	6	]
op	6:41	0:0	6	-
water	6:43	0:0	6	128
water	6:46	0:0	6	)
op	6:48	0:0	6	*
water	6:50	0:0	6	volume
op	6:57	0:0	6	+
water	6:59	0:0	6	128
water	6:62	0:0	6	)
op	6:64	0:0	6	>>
water	6:67	0:0	6	8
water	6:68	0:0	6	)
op	6:70	0:0	6	+
water	6:72	0:0	6	128
water	6:76	0:0	4	;
