func	1:0	8:0	0	static void	vector_fmul_add_c
params	1:29	0:0	1	
param	1:30	1:38	2	int *	dst
param	1:40	1:55	2	const int *	src0
param	1:57	1:72	2	const int *	src1
param	1:74	1:89	2	const int *	src2
param	1:91	1:98	2	int	len
stmnts	0:0	7:4	1	
decl	2:4	2:9	2	int	i
decl	3:4	3:16	2	int64_t	accu
for	4:4	7:4	2	(i = 0 ;i < len;i ++)
forinit	4:9	4:12	3	i = 0 ;
water	4:9	0:0	4	i
op	4:10	0:0	4	=
water	4:11	0:0	4	0
water	4:12	0:0	4	;
cond	4:14	4:16	3	i < len
water	4:14	0:0	4	i
op	4:15	0:0	4	<
water	4:16	0:0	4	len
forexpr	4:21	4:22	3	i ++
water	4:21	0:0	4	i
op	4:22	0:0	4	++
stmts	4:26	7:4	3	
water	4:26	0:0	4	{
water	5:8	0:0	4	accu
op	5:13	0:0	4	=
water	5:15	0:0	4	(
water	5:16	0:0	4	int64_t
water	5:23	0:0	4	)
water	5:24	0:0	4	src0
op	5:28	0:0	4	[
water	5:29	0:0	4	i
op	5:30	0:0	4	]
op	5:32	0:0	4	*
water	5:34	0:0	4	src1
op	5:38	0:0	4	[
water	5:39	0:0	4	i
op	5:40	0:0	4	]
water	5:41	0:0	4	;
water	6:8	0:0	4	dst
op	6:11	0:0	4	[
water	6:12	0:0	4	i
op	6:13	0:0	4	]
op	6:15	0:0	4	=
water	6:17	0:0	4	src2
op	6:21	0:0	4	[
water	6:22	0:0	4	i
op	6:23	0:0	4	]
op	6:25	0:0	4	+
call	6:27	6:58	4	(int)
arg	6:33	6:58	5	(accu+0x40000000)>>31
water	6:33	0:0	6	(
water	6:34	0:0	6	accu
op	6:39	0:0	6	+
water	6:41	0:0	6	0
water	6:42	0:0	6	x40000000
water	6:51	0:0	6	)
op	6:53	0:0	6	>>
water	6:56	0:0	6	31
water	6:59	0:0	4	;
water	7:4	0:0	4	}
