func	1:0	9:0	0	static void	ini_print_str
params	1:25	0:0	1	
param	1:26	1:45	2	WriterContext *	wctx
param	1:47	1:62	2	const char *	key
param	1:64	1:81	2	const char *	value
stmnts	0:0	8:34	1	
decl	3:4	3:16	2	AVBPrint	buf
call	4:4	4:52	2	av_bprint_init
arg	4:19	4:23	3	&buf
op	4:19	0:0	4	&
water	4:20	0:0	4	buf
arg	4:25	4:26	3	1
water	4:25	0:0	4	1
arg	4:28	4:52	3	AV_BPRINT_SIZE_UNLIMITED
water	4:28	0:0	4	AV_BPRINT_SIZE_UNLIMITED
water	4:53	0:0	2	;
call	5:4	5:43	2	printf
arg	5:11	5:16	3	"%s="
water	5:11	0:0	4	"%s="
arg	5:18	5:43	3	ini_escape_str(&buf,key)
call	5:18	5:42	4	ini_escape_str
arg	5:33	5:37	5	&buf
op	5:33	0:0	6	&
water	5:34	0:0	6	buf
arg	5:39	5:42	5	key
water	5:39	0:0	6	key
water	5:44	0:0	2	;
call	6:4	6:24	2	av_bprint_clear
arg	6:20	6:24	3	&buf
op	6:20	0:0	4	&
water	6:21	0:0	4	buf
water	6:25	0:0	2	;
call	7:4	7:46	2	printf
arg	7:11	7:17	3	"%s\n"
water	7:11	0:0	4	"%s\n"
arg	7:19	7:46	3	ini_escape_str(&buf,value)
call	7:19	7:45	4	ini_escape_str
arg	7:34	7:38	5	&buf
op	7:34	0:0	6	&
water	7:35	0:0	6	buf
arg	7:40	7:45	5	value
water	7:40	0:0	6	value
water	7:47	0:0	2	;
call	8:4	8:33	2	av_bprint_finalize
arg	8:23	8:27	3	&buf
op	8:23	0:0	4	&
water	8:24	0:0	4	buf
arg	8:29	8:33	3	NULL
water	8:29	0:0	4	NULL
water	8:34	0:0	2	;
