func	1:0	8:0	0	void	av_log_format_line
params	1:23	0:0	1	
param	1:24	1:33	2	void *	ptr
param	1:35	1:44	2	int	level
param	1:46	1:61	2	const char *	fmt
param	1:63	1:73	2	va_list	vl
param	2:24	2:34	2	char *	line
param	2:36	2:49	2	int	line_size
param	2:51	2:68	2	int *	print_prefix
stmnts	0:0	7:36	1	
decl	4:4	4:20	2	AVBPrint	part[4]
call	5:4	5:61	2	format_line
arg	5:16	5:19	3	ptr
water	5:16	0:0	4	ptr
arg	5:21	5:26	3	level
water	5:21	0:0	4	level
arg	5:28	5:31	3	fmt
water	5:28	0:0	4	fmt
arg	5:33	5:35	3	vl
water	5:33	0:0	4	vl
arg	5:37	5:41	3	part
water	5:37	0:0	4	part
arg	5:43	5:55	3	print_prefix
water	5:43	0:0	4	print_prefix
arg	5:57	5:61	3	NULL
water	5:57	0:0	4	NULL
water	5:62	0:0	2	;
call	6:4	6:92	2	snprintf
arg	6:13	6:17	3	line
water	6:13	0:0	4	line
arg	6:19	6:28	3	line_size
water	6:19	0:0	4	line_size
arg	6:30	6:40	3	"%s%s%s%s"
water	6:30	0:0	4	"%s%s%s%s"
arg	6:42	6:53	3	part[0].str
water	6:42	0:0	4	part
op	6:46	0:0	4	[
water	6:47	0:0	4	0
op	6:48	0:0	4	]
op	6:49	0:0	4	.
water	6:50	0:0	4	str
arg	6:55	6:66	3	part[1].str
water	6:55	0:0	4	part
op	6:59	0:0	4	[
water	6:60	0:0	4	1
op	6:61	0:0	4	]
op	6:62	0:0	4	.
water	6:63	0:0	4	str
arg	6:68	6:79	3	part[2].str
water	6:68	0:0	4	part
op	6:72	0:0	4	[
water	6:73	0:0	4	2
op	6:74	0:0	4	]
op	6:75	0:0	4	.
water	6:76	0:0	4	str
arg	6:81	6:92	3	part[3].str
water	6:81	0:0	4	part
op	6:85	0:0	4	[
water	6:86	0:0	4	3
op	6:87	0:0	4	]
op	6:88	0:0	4	.
water	6:89	0:0	4	str
water	6:93	0:0	2	;
call	7:4	7:35	2	av_bprint_finalize
arg	7:23	7:29	3	part+3
water	7:23	0:0	4	part
op	7:27	0:0	4	+
water	7:28	0:0	4	3
arg	7:31	7:35	3	NULL
water	7:31	0:0	4	NULL
water	7:36	0:0	2	;
