func	1:0	9:0	0	static void	read_ayuv64le_UV_c
params	1:30	0:0	1	
param	1:31	1:44	2	uint8_t *	dstU
param	1:46	1:59	2	uint8_t *	dstV
param	1:61	1:83	2	const uint8_t *	unused0
param	1:85	1:103	2	const uint8_t *	src
param	2:31	2:53	2	const uint8_t *	unused1
param	2:55	2:64	2	int	width
param	2:66	2:83	2	uint32_t *	unused2
stmnts	0:0	8:4	1	
decl	4:4	4:9	2	int	i
for	5:4	8:4	2	(i = 0 ;i < width;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < width
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	width
forexpr	5:27	5:28	3	i ++
water	5:27	0:0	4	i
op	5:28	0:0	4	++
stmts	5:32	8:4	3	
water	5:32	0:0	4	{
call	6:8	6:54	4	AV_WN16
arg	6:16	6:28	5	dstU+i*2
water	6:16	0:0	6	dstU
op	6:21	0:0	6	+
water	6:23	0:0	6	i
op	6:25	0:0	6	*
water	6:27	0:0	6	2
arg	6:30	6:54	5	AV_RL16(src+i*8+4)
call	6:30	6:53	6	AV_RL16
arg	6:38	6:53	7	src+i*8+4
water	6:38	0:0	8	src
op	6:42	0:0	8	+
water	6:44	0:0	8	i
op	6:46	0:0	8	*
water	6:48	0:0	8	8
op	6:50	0:0	8	+
water	6:52	0:0	8	4
water	6:55	0:0	4	;
call	7:8	7:54	4	AV_WN16
arg	7:16	7:28	5	dstV+i*2
water	7:16	0:0	6	dstV
op	7:21	0:0	6	+
water	7:23	0:0	6	i
op	7:25	0:0	6	*
water	7:27	0:0	6	2
arg	7:30	7:54	5	AV_RL16(src+i*8+6)
call	7:30	7:53	6	AV_RL16
arg	7:38	7:53	7	src+i*8+6
water	7:38	0:0	8	src
op	7:42	0:0	8	+
water	7:44	0:0	8	i
op	7:46	0:0	8	*
water	7:48	0:0	8	8
op	7:50	0:0	8	+
water	7:52	0:0	8	6
water	7:55	0:0	4	;
water	8:4	0:0	4	}
