func	1:0	12:0	0	void	SetNameLabel
stmnts	0:0	11:37	1	
decl	4:4	4:23	2	char	buffer[BUFSIZ]
decl	5:4	5:15	2	Arg	args[1]
if	6:4	7:62	2	(tfMultiPage)
cond	6:8	6:8	3	tfMultiPage
water	6:8	0:0	4	tfMultiPage
stmts	7:8	7:62	3	
call	7:8	7:61	4	sprintf
arg	7:16	7:22	5	buffer
water	7:16	0:0	6	buffer
arg	7:24	7:38	5	"%s - page %d"
water	7:24	0:0	6	"%s - page %d"
arg	7:40	7:48	5	fileName
water	7:40	0:0	6	fileName
arg	7:50	7:61	5	tfDirectory
water	7:50	0:0	6	tfDirectory
water	7:62	0:0	4	;
else	8:4	9:32	2
stmts	9:8	9:32	3	
call	9:8	9:31	4	strcpy
arg	9:15	9:21	5	buffer
water	9:15	0:0	6	buffer
arg	9:23	9:31	5	fileName
water	9:23	0:0	6	fileName
water	9:32	0:0	4	;
call	10:4	10:38	2	XtSetArg
arg	10:13	10:20	3	args[0]
water	10:13	0:0	4	args
op	10:17	0:0	4	[
water	10:18	0:0	4	0
op	10:19	0:0	4	]
arg	10:22	10:30	3	XtNlabel
water	10:22	0:0	4	XtNlabel
arg	10:32	10:38	3	buffer
water	10:32	0:0	4	buffer
water	10:39	0:0	2	;
call	11:4	11:36	2	XtSetValues
arg	11:16	11:27	3	labelWidget
water	11:16	0:0	4	labelWidget
arg	11:29	11:33	3	args
water	11:29	0:0	4	args
arg	11:35	11:36	3	1
water	11:35	0:0	4	1
water	11:37	0:0	2	;
