func	1:0	126:0	0	void	GetTIFFImage
stmnts	0:0	125:19	1	
decl	4:4	4:56	2	int	pixel_map[3]
water	4:20	0:0	2	,
decl	4:4	4:56	2	int	red_shift
water	4:31	0:0	2	,
decl	4:4	4:56	2	int	green_shift
water	4:44	0:0	2	,
decl	4:4	4:56	2	int	blue_shift
decl	5:4	5:40	2	char	*scan_line
water	5:19	0:0	2	,
decl	5:4	5:40	2	char	*output_p
water	5:30	0:0	2	,
decl	5:4	5:40	2	char	*input_p
decl	6:4	6:15	2	uint32	i
water	6:12	0:0	2	,
decl	6:4	6:15	2	uint32	j
decl	7:4	7:12	2	uint16	s
water	8:4	0:0	2	scan_line
op	8:14	0:0	2	=
water	8:16	0:0	2	(
water	8:17	0:0	2	char
op	8:22	0:0	2	*
water	8:23	0:0	2	)
call	8:25	8:72	2	malloc
arg	8:32	8:72	3	tfBytesPerRow=TIFFScanlineSize(tfFile)
water	8:32	0:0	4	tfBytesPerRow
op	8:46	0:0	4	=
call	8:48	8:71	4	TIFFScanlineSize
arg	8:65	8:71	5	tfFile
water	8:65	0:0	6	tfFile
water	8:73	0:0	2	;
call	9:4	9:20	2	MCHECK
arg	9:11	9:20	3	scan_line
water	9:11	0:0	4	scan_line
water	9:21	0:0	2	;
if	10:4	59:4	2	(( tfImageDepth == 32 ) || ( tfImageDepth == 24 ))
cond	10:8	10:51	3	( tfImageDepth == 32 ) || ( tfImageDepth == 24 )
water	10:8	0:0	4	(
water	10:9	0:0	4	tfImageDepth
op	10:22	0:0	4	==
water	10:25	0:0	4	32
water	10:27	0:0	4	)
op	10:29	0:0	4	||
water	10:32	0:0	4	(
water	10:33	0:0	4	tfImageDepth
op	10:46	0:0	4	==
water	10:49	0:0	4	24
water	10:51	0:0	4	)
stmts	10:54	59:4	3	
water	10:54	0:0	4	{
water	11:8	0:0	4	output_p
op	11:17	0:0	4	=
water	11:19	0:0	4	imageMemory
op	11:31	0:0	4	=
water	11:33	0:0	4	(
water	11:34	0:0	4	char
op	11:39	0:0	4	*
