func	1:0	6:0	0	static toff_t	_tiffSizeProc
params	2:13	0:0	1	
param	2:14	2:26	2	thandle_t	fd
stmnts	0:0	5:68	1	
decl	4:1	4:16	2	_TIFF_stat_s	sb
return	5:1	5:68	2	(toff_t)(_TIFF_fstat_f((int)fd,&sb)<0?0:sb.st_size)
call	5:8	5:67	3	(toff_t)
arg	5:18	5:67	4	_TIFF_fstat_f((int)fd,&sb)<0?0:sb.st_size
call	5:18	5:45	5	_TIFF_fstat_f
arg	5:32	5:40	6	(int)fd
water	5:32	0:0	7	(
water	5:33	0:0	7	int
water	5:36	0:0	7	)
water	5:38	0:0	7	fd
arg	5:42	5:45	6	&sb
op	5:42	0:0	7	&
water	5:43	0:0	7	sb
op	5:47	0:0	5	<
water	5:49	0:0	5	0
water	5:51	0:0	5	?
water	5:53	0:0	5	0
water	5:55	0:0	5	:
water	5:57	0:0	5	sb
op	5:59	0:0	5	.
water	5:60	0:0	5	st_size
