func	2:0	11:0	0	static char *	GenerateCnonce
stmnts	0:0	10:31	1	
decl	4:4	4:22	2	char	ps_random[32]
decl	5:4	5:20	2	struct md5_s	md5
call	6:4	6:51	2	vlc_rand_bytes
arg	6:20	6:29	3	ps_random
water	6:20	0:0	4	ps_random
arg	6:31	6:51	3	sizeof(ps_random)
op	6:31	0:0	4	sizeof
water	6:37	0:0	4	(
water	6:39	0:0	4	ps_random
water	6:49	0:0	4	)
water	6:52	0:0	2	;
call	7:4	7:18	2	InitMD5
arg	7:13	7:18	3	&md5
op	7:13	0:0	4	&
water	7:14	0:0	4	md5
water	7:19	0:0	2	;
call	8:4	8:49	2	AddMD5
arg	8:12	8:16	3	&md5
op	8:12	0:0	4	&
water	8:13	0:0	4	md5
arg	8:18	8:27	3	ps_random
water	8:18	0:0	4	ps_random
arg	8:29	8:49	3	sizeof(ps_random)
op	8:29	0:0	4	sizeof
water	8:35	0:0	4	(
water	8:37	0:0	4	ps_random
water	8:47	0:0	4	)
water	8:50	0:0	2	;
call	9:4	9:17	2	EndMD5
arg	9:12	9:17	3	&md5
op	9:12	0:0	4	&
water	9:13	0:0	4	md5
water	9:18	0:0	2	;
return	10:4	10:31	2	psz_md5_hash(&md5)
call	10:11	10:30	3	psz_md5_hash
arg	10:25	10:30	4	&md5
op	10:25	0:0	5	&
water	10:26	0:0	5	md5
