func	2:0	9:0	0	int	playlist_RecursiveNodeSort
params	2:30	0:0	1	
param	2:32	2:54	2	playlist_t *	p_playlist
param	2:56	2:79	2	playlist_item_t *	p_node
param	3:32	3:42	2	int	i_mode
param	3:44	3:55	2	int	i_type
stmnts	6:4	8:78	1	
call	6:4	6:22	2	pl_priv
arg	6:12	6:22	3	p_playlist
water	6:12	0:0	4	p_playlist
op	6:23	0:0	2	->
water	6:25	0:0	2	b_reset_currently_playing
op	6:51	0:0	2	=
water	6:53	0:0	2	true
water	6:57	0:0	2	;
return	8:4	8:78	2	recursiveNodeSort(p_playlist,p_node,find_sorting_fn(i_mode,i_type))
call	8:11	8:77	3	recursiveNodeSort
arg	8:29	8:39	4	p_playlist
water	8:29	0:0	5	p_playlist
arg	8:40	8:46	4	p_node
water	8:40	0:0	5	p_node
arg	8:47	8:77	4	find_sorting_fn(i_mode,i_type)
call	8:47	8:76	5	find_sorting_fn
arg	8:63	8:69	6	i_mode
water	8:63	0:0	7	i_mode
arg	8:70	8:76	6	i_type
water	8:70	0:0	7	i_type
