func	2:0	5:0	0	void	vout_GetResetStatistic
params	2:27	0:0	1	
param	2:28	2:47	2	vout_thread_t *	vout
param	2:49	2:63	2	int *	displayed
param	2:65	2:74	2	int *	lost
stmnts	4:4	4:67	1	
call	4:4	4:66	2	vout_statistic_GetReset
arg	4:29	4:48	3	&vout->p->statistic
op	4:29	0:0	4	&
water	4:30	0:0	4	vout
op	4:34	0:0	4	->
water	4:36	0:0	4	p
op	4:37	0:0	4	->
water	4:39	0:0	4	statistic
arg	4:50	4:59	3	displayed
water	4:50	0:0	4	displayed
arg	4:61	4:66	3	lost
water	4:61	0:0	4	lost
water	4:67	0:0	2	;
