func	2:0	6:0	0	static int	Send
params	2:15	0:0	1	
param	2:17	2:40	2	sout_stream_t *	p_stream
param	2:42	2:66	2	sout_stream_id_sys_t *	id
param	3:17	3:35	2	block_t *	p_buffer
stmnts	5:4	5:84	1	
return	5:4	5:84	2	sout_MuxSendBuffer(p_stream->p_sys->p_mux,(sout_input_t*)id,p_buffer)
call	5:11	5:83	3	sout_MuxSendBuffer
arg	5:31	5:53	4	p_stream->p_sys->p_mux
water	5:31	0:0	5	p_stream
op	5:39	0:0	5	->
water	5:41	0:0	5	p_sys
op	5:46	0:0	5	->
water	5:48	0:0	5	p_mux
arg	5:55	5:72	4	(sout_input_t*)id
water	5:55	0:0	5	(
water	5:56	0:0	5	sout_input_t
op	5:68	0:0	5	*
water	5:69	0:0	5	)
water	5:70	0:0	5	id
arg	5:74	5:83	4	p_buffer
water	5:74	0:0	5	p_buffer
