func	2:0	9:0	0	static bool	write_exact
params	2:23	0:0	1	
param	2:25	2:43	2	filter_t *	p_filter
param	3:25	3:37	2	int	i_socket
param	4:25	4:41	2	char *	p_writebuf
param	5:25	5:37	2	int	i_bytes
stmnts	7:4	8:71	1	
return	7:4	8:71	2	i_bytes==net_Write(p_filter,i_socket,NULL,(unsignedchar*)p_writebuf,i_bytes)
water	7:11	0:0	3	i_bytes
op	7:19	0:0	3	==
call	7:22	8:70	3	net_Write
arg	7:33	7:41	4	p_filter
water	7:33	0:0	5	p_filter
arg	7:43	7:51	4	i_socket
water	7:43	0:0	5	i_socket
arg	7:53	7:57	4	NULL
water	7:53	0:0	5	NULL
arg	8:34	8:60	4	(unsignedchar*)p_writebuf
water	8:34	0:0	5	(
water	8:35	0:0	5	unsigned
water	8:44	0:0	5	char
op	8:48	0:0	5	*
water	8:49	0:0	5	)
water	8:50	0:0	5	p_writebuf
arg	8:62	8:70	4	i_bytes
water	8:62	0:0	5	i_bytes
