func	2:0	6:0	0	VdpStatus	vdp_output_surface_create
params	2:35	0:0	1	
param	2:36	2:52	2	const vdp_t *	vdp
param	2:54	2:70	2	VdpDevice	device
param	3:4	3:21	2	VdpRGBAFormat	fmt
param	3:23	3:33	2	uint32_t	w
param	3:35	3:45	2	uint32_t	h
param	3:47	3:72	2	VdpOutputSurface *	surface
stmnts	5:4	5:68	1	
return	5:4	5:68	2	vdp->vt.output_surface_create(device,fmt,w,h,surface)
call	5:11	5:67	3	vdp->vt.output_surface_create
arg	5:41	5:47	4	device
water	5:41	0:0	5	device
arg	5:49	5:52	4	fmt
water	5:49	0:0	5	fmt
arg	5:54	5:55	4	w
water	5:54	0:0	5	w
arg	5:57	5:58	4	h
water	5:57	0:0	5	h
arg	5:60	5:67	4	surface
water	5:60	0:0	5	surface
