func	2:0	7:0	0	static int	parse_ProgramDateTime
params	2:32	0:0	1	
param	2:33	2:44	2	stream_t *	s
param	2:46	2:63	2	hls_stream_t *	hls
param	2:65	2:77	2	char *	p_read
stmnts	4:4	6:22	1	
call	4:4	4:18	2	VLC_UNUSED
arg	4:15	4:18	3	hls
water	4:15	0:0	4	hls
water	4:19	0:0	2	;
call	5:4	5:71	2	msg_Dbg
arg	5:12	5:13	3	s
water	5:12	0:0	4	s
arg	5:15	5:63	3	"tag not supported: #EXT-X-PROGRAM-DATE-TIME %s"
water	5:15	0:0	4	"tag not supported: #EXT-X-PROGRAM-DATE-TIME %s"
arg	5:65	5:71	3	p_read
water	5:65	0:0	4	p_read
water	5:72	0:0	2	;
return	6:4	6:22	2	VLC_SUCCESS
water	6:11	0:0	3	VLC_SUCCESS
