func	2:0	7:0	0	static int	GetTigerInteger
params	2:26	0:0	1	
param	2:28	2:44	2	decoder_t *	p_dec
param	2:46	2:67	2	const char *	psz_name
stmnts	0:0	6:18	1	
decl	4:4	4:57	2	int	i_value
op	4:16	0:0	2	=
call	4:18	4:56	3	var_CreateGetInteger
arg	4:40	4:45	4	p_dec
water	4:40	0:0	5	p_dec
arg	4:47	4:56	4	psz_name
water	4:47	0:0	5	psz_name
call	5:4	5:33	2	var_Destroy
arg	5:17	5:22	3	p_dec
water	5:17	0:0	4	p_dec
arg	5:24	5:33	3	psz_name
water	5:24	0:0	4	psz_name
water	5:34	0:0	2	;
return	6:4	6:18	2	i_value
water	6:11	0:0	3	i_value
